CHILDID,PUBID,ID,obs_num,o_lifetime_earn,race,sex,treated_HS,life_earn_HS,treated_BA,life_earn_BA,treated_AA,life_earn_AA,treated_CJ,life_earn_CJ,treated_race,life_earn_race,treated_isscommschools,life_earn_isscommschools,treated_jobquality,life_earn_jobquality,treated_jobtraining,life_earn_jobtraining,race_sex,indic
0002010C,994,11679,1,1406156.5,White and Other,Male,0,1406156.5,0,1406156.5,0,1406156.5,0,1406156.5,1,1406156.5,0,1406156.5,0,1406156.5,1,1397366.4,2,1
0002016C,3234,40765,4,581781.13,White and Other,Male,0,581781.63,0,581781.63,0,581781.63,0,581781.63,1,581781.63,0,581781.63,1,583604.31,1,581859.69,2,1
0002022C,8832,97808,3,666741.81,White and Other,Female,0,666741.63,0,666741.63,0,666741.63,0,666741.63,1,666741.63,0,666741.63,1,708275.88,1,677710.44,1,1
0005007C,2159,27226,3,430700.63,White and Other,Male,0,430700.66,0,430700.66,0,430700.66,0,430700.66,1,430700.66,1,451182.97,1,439571.97,1,432354.69,2,1
0006006C,6474,78931,2,422440.75,White and Other,Female,0,422440.72,0,422440.72,0,422440.72,0,422440.72,1,422440.72,1,435652.66,0,422440.72,1,422440.72,1,1
0006014C,1622,19626,1,980724.69,White and Other,Female,0,980722.44,0,980722.44,0,980722.44,0,980722.44,1,980722.44,1,1016093.5,0,980722.44,1,1092949.9,1,1
0007016C,2835,35323,2,418348.94,White and Other,Male,0,418349.56,0,418349.56,0,418349.56,0,418349.56,1,418349.56,0,418349.56,1,491331.69,1,437804.72,2,1
0007023C,1158,13412,1,1473077.6,White and Other,Male,0,1473078.3,0,1473078.3,0,1473078.3,0,1473078.3,1,1473078.3,0,1473078.3,0,1473078.3,0,1473078.3,2,1
0009011C,2554,32424,4,457082.41,White and Other,Female,0,457082.31,0,457082.31,0,457082.31,0,457082.31,1,457082.31,0,457082.31,0,457082.31,0,457082.31,1,1
0009024C,1775,21740,1,1008655.6,White and Other,Male,0,1008657.1,0,1008657.1,0,1008657.1,0,1008657.1,1,1008657.1,0,1008657.1,0,1008657.1,1,1075734.8,2,1
0011002C,3132,39175,1,790330.44,White and Other,Female,0,790329.69,0,790329.69,0,790329.69,0,790329.69,1,790329.69,0,790329.69,0,790329.69,0,790329.69,1,1
0015007C,4952,62871,1,493355.34,White and Other,Female,0,493354.94,0,493354.94,0,493354.94,0,493354.94,1,493354.94,1,502750.41,1,552584.5,1,513518.63,1,1
0020023C,2558,32453,1,2696160,White and Other,Male,0,2696160.5,0,2696160.5,0,2696160.5,0,2696160.5,1,2696160.5,0,2696160.5,0,2696160.5,0,2696160.5,2,1
0022012C,5122,64829,3,203017.95,White and Other,Male,0,203018.17,0,203018.17,0,203018.17,0,203018.17,1,203018.17,0,203018.17,1,232566.3,1,209343.55,2,1
0022018C,787,9195,3,237078.33,White and Other,Male,0,237078.77,0,237078.77,0,237078.77,0,237078.77,1,237078.77,1,254651.83,1,298139.81,1,253291.34,2,1
0023008C,5173,65269,1,283581.75,White and Other,Female,0,283581.75,0,283581.75,0,283581.75,0,283581.75,1,283581.75,1,293081.97,0,283581.75,1,283581.75,1,1
0025002C,1704,20765,3,979196.31,White and Other,Male,0,979196.88,0,979196.88,0,979196.88,0,979196.88,1,979196.88,1,990834.69,0,979196.88,0,979196.88,2,1
0025002C,2692,33868,4,525591,White and Other,Male,0,525592.06,0,525592.06,0,525592.06,0,525592.06,1,525592.06,1,526663.88,0,525592.06,1,525803.25,2,1
