CHILDID,PUBID,ID,obs_num,o_lifetime_earn,race,sex,treated_HS,life_earn_HS,treated_BA,life_earn_BA,treated_AA,life_earn_AA,treated_CJ,life_earn_CJ,treated_race,life_earn_race,treated_isscommschools,life_earn_isscommschools,treated_jobquality,life_earn_jobquality,treated_jobtraining,life_earn_jobtraining,race_sex,indic
0025005C,3312,41616,1,551249.94,White and Other,Female,0,551249.56,0,551249.56,0,551249.56,0,551249.56,1,551249.56,0,551249.56,1,630746,1,572714.06,1,1
0025005C,3312,41616,2,551249.94,White and Other,Female,0,551249.56,0,551249.56,0,551249.56,0,551249.56,1,551249.56,0,551249.56,1,630746,1,572714.13,1,1
0025012C,2520,32122,2,592230.81,White and Other,Male,0,592231.56,0,592231.56,0,592231.56,0,592231.56,1,592231.56,0,592231.56,1,673757.19,1,620124.19,2,1
0025022C,6070,74188,4,302532.81,Hispanic,Male,0,302532.78,0,302532.78,0,302532.78,0,302532.78,1,551994.38,1,307694.59,1,363615.38,1,318108.09,6,1
0033013C,12,150,1,747681.31,Hispanic,Male,0,747681.13,0,747681.13,0,747681.13,0,747681.13,1,931024.5,1,764147.81,0,747681.13,1,779944.38,6,1
0034006C,1760,21484,3,185996.97,Black,Female,0,185996.97,0,185996.97,0,185996.97,0,185996.97,1,240184.56,1,713158.06,1,203791.52,1,190405.75,3,1
0036019C,8999,99623,1,72420.063,Black,Male,0,72420.094,0,72420.094,0,72420.094,0,81727.5,1,364355.22,1,99430.195,1,125766.7,1,86930.359,4,1
0038005C,3752,47611,3,643090.81,White and Other,Female,0,643090.38,0,643090.38,0,643090.38,0,643090.38,1,643090.38,1,702664.06,1,708841.44,1,665493.75,1,1
0038009C,8873,98164,2,193110.34,Hispanic,Female,0,193112.8,0,193112.8,0,193112.8,0,193112.8,1,266882.31,0,193112.8,1,223544.36,1,203564.05,5,1
0038010C,5955,73096,4,307952.75,Black,Female,0,307952.75,0,307952.75,1,478238.06,0,307952.75,1,358566.56,1,337869.53,1,355684.44,1,320909.31,3,1
0038014C,7557,88398,3,259595.97,Hispanic,Female,0,259595.97,0,259595.97,0,259595.97,0,259595.97,1,357150.75,1,302293.97,0,259595.97,1,259595.97,5,1
0038014C,7557,88465,3,259595.97,Hispanic,Female,0,259595.97,0,259595.97,0,259595.97,0,259595.97,1,323444.72,1,271447.97,0,259595.97,1,259595.97,5,1
0038014C,7557,88418,4,259595.97,Hispanic,Female,0,259595.97,0,259595.97,0,259595.97,0,259595.97,1,372460.09,1,302293.97,0,259595.97,1,259595.97,5,1
0038019C,7833,90745,4,269190.03,Black,Male,0,269190.06,0,269190.06,0,269190.06,0,282065.44,1,838477.06,1,491981.84,1,309654.22,1,279799.16,4,1
0038020C,2123,26792,1,1077662,White and Other,Male,0,1077662.9,0,1077662.9,0,1077662.9,0,1077662.9,1,1077662.9,0,1077662.9,0,1077662.9,0,1077662.9,2,1
0038022C,8486,95166,2,307811.97,Hispanic,Male,0,307812,0,307812,0,307812,0,307812,1,635423.25,1,325354.41,1,341592.44,1,314557.97,6,1
0038023C,4122,52766,1,138458.86,White and Other,Female,0,138458.86,0,138458.86,0,138458.86,0,138458.86,1,138458.86,1,146931.34,0,138458.86,1,138458.86,1,1
0039003C,2462,31340,1,306748.84,White and Other,Female,0,306748.59,0,306748.59,0,306748.59,0,306748.59,1,306748.59,0,306748.59,1,354042.63,1,319284.09,1,1
0040004C,8319,94176,2,127502.03,Black,Female,0,127502.03,0,127502.03,0,127502.03,0,127502.03,1,164369.34,1,139372.8,0,127502.03,1,127502.03,3,1
0040013C,1836,22432,4,1316943.4,White and Other,Male,0,1316944.5,0,1316944.5,0,1316944.5,0,1316944.5,1,1316944.5,0,1316944.5,0,1316944.5,1,1363067.3,2,1
0041013C,862,10052,3,115291.74,White and Other,Female,0,115291.71,0,115291.71,0,115291.71,0,115291.71,1,115291.71,1,141122.28,1,119179.84,1,115933.55,1,1
0043007C,5431,68126,4,543012.81,White and Other,Male,0,543013.06,0,543013.06,0,543013.06,0,543013.06,1,543013.06,0,543013.06,1,544247.44,1,543032.75,2,1
0043011C,1378,16306,1,640999.88,White and Other,Male,0,641001.13,0,641001.13,0,641001.13,0,641001.13,1,641001.13,0,641001.13,0,641001.13,1,686987.63,2,1
0043012C,291,3395,3,507346.81,White and Other,Female,0,507346.72,0,507346.72,0,507346.72,0,507346.72,1,507346.72,0,507346.72,1,530991,1,512398.69,1,1
0043015C,6528,79880,2,394818.28,White and Other,Female,0,394818.03,0,394818.03,0,394818.03,0,394818.03,1,394818.03,1,412344.66,1,455965.88,1,411104.06,1,1
0043020C,6730,82047,1,708809.13,Hispanic,Female,0,708811.63,0,708811.63,0,708811.63,0,708811.63,1,871689.44,1,720564.38,0,708811.63,0,708811.63,5,1
0044015C,421,5158,4,646755.75,White and Other,Male,0,646756.94,0,646756.94,0,646756.94,0,646756.94,1,646756.94,0,646756.94,1,762720.75,1,686452.88,2,1
0044018C,798,9438,3,1779673.6,White and Other,Male,0,1779675.6,0,1779675.6,0,1779675.6,0,1779675.6,1,1779675.6,0,1779675.6,0,1779675.6,0,1779675.6,2,1
0044020C,7471,87580,1,860028.25,Hispanic,Male,0,860028.25,0,860028.25,0,860028.25,0,860028.25,1,1321019.3,0,860028.25,0,860028.25,1,910091.81,6,1
0046004C,3102,38880,4,279138.94,Black,Male,1,972545.5,0,279138.94,0,279138.94,0,292014.28,1,639084.81,1,888461.06,1,287391.19,1,280668.31,4,1
0047004C,1753,21378,4,591133.94,White and Other,Male,0,591134.13,0,591134.13,0,591134.13,0,591134.13,1,591134.13,0,591134.13,1,609863.06,0,591134.13,2,1
0047019C,2010,25068,2,737722.56,White and Other,Male,0,737723.13,0,737723.13,0,737723.13,0,737723.13,1,737723.13,0,737723.13,1,817099.38,1,759229.44,2,1
0047019C,6366,77704,2,2245721.8,White and Other,Male,0,2245724.5,0,2245724.5,0,2245724.5,0,2245724.5,1,2245724.5,0,2245724.5,0,2245724.5,1,2378823.5,2,1
0047020C,1084,12707,2,964171.56,White and Other,Female,0,964171,0,964171,0,964171,0,964171,1,964171,0,964171,0,964171,0,964171,1,1
0050020C,4371,56295,1,604704.31,Hispanic,Female,1,682815.69,0,604704.31,0,604704.31,0,604704.31,1,720316.06,1,680249.19,0,604704.31,0,604704.31,5,1
0050022C,4400,56587,4,506418.34,Hispanic,Female,0,506421,0,506421,0,506421,0,506421,1,658164.81,1,517649.78,1,566675.88,1,527114.56,5,1
0051020C,5543,69009,1,329915.97,White and Other,Female,0,329915.44,0,329915.44,0,329915.44,0,329915.44,1,329915.44,0,329915.44,0,329915.44,1,356343.5,1,1
0053014C,2173,27545,4,510255.31,White and Other,Male,1,745853.81,0,510255.63,0,510255.63,0,510255.63,1,510255.63,0,510255.63,1,556713.44,1,520388.5,2,1
0055012C,3396,42968,1,183030.83,White and Other,Male,0,183031.83,0,183031.83,0,183031.83,0,183031.83,1,183031.83,1,195358.89,0,183031.83,1,216256,2,1
0055019C,5802,71672,1,787785.5,White and Other,Male,0,787786.63,0,787786.63,0,787786.63,0,787786.63,1,787786.63,0,787786.63,0,787786.63,0,787786.63,2,1
0055024C,2331,29871,1,1304580.5,White and Other,Male,0,1304580.6,0,1304580.6,0,1304580.6,0,1304580.6,1,1304580.6,0,1304580.6,0,1304580.6,0,1304580.6,2,1
0056002C,3852,49066,1,1025272.5,White and Other,Male,0,1025274.6,1,1561001.3,0,1025274.6,0,1025274.6,1,1025274.6,1,1038915.4,0,1025274.6,1,1121786,2,1
0056009C,2221,28206,3,579519.69,White and Other,Male,0,579521.13,0,579521.13,0,579521.13,0,579521.13,1,579521.13,0,579521.13,0,579521.13,1,632836.75,2,1
0056022C,2210,28067,3,351686.88,White and Other,Male,0,351687.25,0,351687.25,0,351687.25,0,351687.25,1,351687.25,0,351687.25,1,421456.81,1,367053.44,2,1
0057005C,298,3481,3,676283.44,White and Other,Female,0,676282.69,0,676282.69,0,676282.69,0,676282.69,1,676282.69,0,676282.69,0,676282.69,1,711110.94,1,1
0057007C,4611,59096,2,574398.38,White and Other,Female,0,574397.94,0,574397.94,0,574397.94,0,574397.94,1,574397.94,0,574397.94,1,635339,1,595149.44,1,1
0057009C,175,2014,2,851184.75,White and Other,Female,0,851183.81,0,851183.81,0,851183.81,0,851183.81,1,851183.81,0,851183.81,0,851183.81,0,851183.81,1,1
0057019C,4864,62035,1,304482.56,White and Other,Male,1,491677.06,0,304482.59,0,304482.59,0,304482.59,1,304482.59,0,304482.59,0,304482.59,1,304482.63,2,1
0060011C,551,6672,2,1487992.9,White and Other,Male,0,1487993.3,0,1487993.3,0,1487993.3,0,1487993.3,1,1487993.3,0,1487993.3,0,1487993.3,0,1487993.3,2,1
0062016C,636,7600,3,731060.81,White and Other,Male,0,731061.88,0,731061.88,0,731061.88,0,731061.88,1,731061.88,0,731061.88,0,731061.88,1,777709,2,1
0064002C,1451,17232,3,875017.56,White and Other,Female,0,875017.44,0,875017.44,0,875017.44,0,875017.44,1,875017.44,1,882740.81,0,875017.44,0,875017.44,1,1
0064009C,3836,48763,1,759112.81,Black,Male,0,759112.81,0,759112.81,0,759112.81,0,764727.38,1,1095152.6,1,765534.75,0,759112.81,0,759112.81,4,1
0066012C,777,9027,2,550858.63,Hispanic,Female,0,550862,0,550862,1,629997.19,0,550862,1,903130.31,1,640698.88,0,550862,1,577532.31,5,1
0069007C,1380,16348,3,643847.94,White and Other,Female,0,643847.56,0,643847.56,0,643847.56,0,643847.56,1,643847.56,0,643847.56,1,711392.88,1,662079.06,1,1
0069023C,395,4762,1,804847.81,White and Other,Male,0,804848.25,0,804848.25,0,804848.25,0,804848.25,1,804848.25,0,804848.25,1,880485.94,1,825007,2,1
0070012C,5876,72398,1,749847.5,White and Other,Male,0,749847.88,0,749847.88,0,749847.88,0,749847.88,1,749847.88,0,749847.88,0,749847.88,1,767647.88,2,1
0070014C,923,10809,4,443600.66,White and Other,Female,0,443600.38,0,443600.38,0,443600.38,0,443600.38,1,443600.38,0,443600.38,0,443600.38,0,443600.38,1,1
0070018C,5002,63488,1,380899.97,White and Other,Male,0,380900,0,380900,0,380900,0,380900,1,380900,1,561436.13,1,388191.16,1,382213.84,2,1
0071023C,2005,25001,2,241955.33,White and Other,Male,0,241957.13,0,241957.13,0,241957.13,0,241957.13,1,241957.13,1,260969.3,0,241957.13,1,310271.38,2,1
0072004C,2168,27463,1,777073.38,White and Other,Male,0,777074.25,0,777074.25,0,777074.25,0,777074.25,1,777074.25,0,777074.25,1,877710.44,1,811506.13,2,1
0073003C,416,5048,4,2331076.8,White and Other,Female,0,2331076.5,0,2331076.5,0,2331076.5,0,2331076.5,1,2331076.5,0,2331076.5,0,2331076.5,0,2331076.5,1,1
0073016C,2939,36613,4,1444053.5,White and Other,Male,0,1444053.6,0,1444053.6,0,1444053.6,0,1444053.6,1,1444053.6,0,1444053.6,0,1444053.6,0,1444053.6,2,1
0073021C,240,2854,1,1426925,White and Other,Female,0,1426924.1,0,1426924.1,0,1426924.1,0,1426924.1,1,1426924.1,0,1426924.1,0,1426924.1,0,1426924.1,1,1
0075005C,6158,75254,2,616050.75,White and Other,Male,0,616051.25,0,616051.25,0,616051.25,0,616051.25,1,616051.25,0,616051.25,1,693272,1,636640.31,2,1
0075020C,1414,16788,2,875017.56,White and Other,Female,0,875016.88,0,875016.88,0,875016.88,0,875016.88,1,875016.88,0,875016.88,0,875016.88,0,875016.88,1,1
0078013C,338,4210,4,376191.75,White and Other,Female,0,376190.97,0,376190.97,0,376190.97,0,376190.97,1,376190.97,0,376190.97,0,376190.97,0,376190.97,1,1
0081004C,1236,14349,2,970762.13,White and Other,Male,0,970763.31,0,970763.31,0,970763.31,0,970763.31,1,970763.31,0,970763.31,0,970763.31,1,1024969.7,2,1
0081014C,2352,30258,2,638524.25,White and Other,Male,0,638525.44,0,638525.44,0,638525.44,0,638525.44,1,638525.44,0,638525.44,0,638525.44,1,689746.06,2,1
0081018C,3640,46021,4,1367726.6,White and Other,Male,0,1367726.9,0,1367726.9,0,1367726.9,0,1367726.9,1,1367726.9,0,1367726.9,0,1367726.9,0,1367726.9,2,1
0083005C,848,9870,1,134393.34,Black,Female,0,134393.36,0,134393.36,0,134393.36,0,134393.36,1,163233.53,0,134393.36,1,145180.47,1,136465.17,3,1
0083012C,171,1884,2,167632.53,Hispanic,Female,0,167634.83,0,167634.83,0,167634.83,0,167634.83,1,389444.19,0,167634.83,1,220110.95,1,185656.94,5,1
0084009C,647,7758,2,768255.63,White and Other,Male,0,768255.75,0,768255.75,0,768255.75,0,768255.75,1,768255.75,0,768255.75,0,768255.75,0,768255.75,2,1
0084017C,1273,14935,2,865786.75,White and Other,Male,0,865787.44,0,865787.44,0,865787.44,0,865787.44,1,865787.44,0,865787.44,1,963511.5,1,892265.44,2,1
0084019C,5388,67569,2,1361859.5,White and Other,Female,0,1361858.9,0,1361858.9,0,1361858.9,0,1361858.9,1,1361858.9,0,1361858.9,0,1361858.9,0,1361858.9,1,1
0084021C,3261,41107,1,207008.78,White and Other,Female,0,207008.66,0,207008.66,0,207008.66,0,207008.66,1,207008.66,0,207008.66,1,244114.94,1,215091.78,1,1
0091013C,7639,89356,2,458286.31,Black,Female,0,458286.28,0,458286.28,0,458286.28,0,458286.28,1,606430.56,1,472279.19,0,458286.28,1,475701.53,3,1
0091013C,4210,53705,3,1061169.9,Black,Female,0,1061169.9,0,1061169.9,0,1061169.9,0,1061169.9,1,1017691.6,1,1084935,0,1061169.9,0,1061169.9,3,1
0091016C,2103,26536,3,518220.75,Black,Female,0,518220.72,1,828011.06,1,625688.81,0,518220.72,1,517148.47,1,533018.63,0,518220.72,1,518220.72,3,1
0093015C,4234,54187,2,216312.7,White and Other,Female,1,505098.88,0,216312.7,0,216312.7,0,216312.7,1,216312.7,0,216312.7,0,216312.7,1,216312.7,1,1
0093017C,4409,56655,3,880374.88,White and Other,Female,0,880374.31,0,880374.31,0,880374.31,0,880374.31,1,880374.31,0,880374.31,0,880374.31,0,880374.31,1,1
0095014C,2217,28150,2,416783.75,White and Other,Female,0,416783.75,0,416783.75,0,416783.75,0,416783.75,1,416783.75,0,416783.75,0,416783.75,1,416783.75,1,1
0095016C,4247,54517,1,241689.94,Black,Male,0,241689.94,0,241689.94,0,241689.94,0,253796.25,1,789800.44,1,262994.56,0,241689.94,1,266159.59,4,1
0098002C,7217,85531,2,949519.19,Black,Female,0,949519.19,0,949519.19,0,949519.19,0,949519.19,1,908139.56,1,961079.63,0,949519.19,0,949519.19,3,1
0098024C,7166,85170,1,955230.5,Hispanic,Female,0,955230.69,0,955230.69,0,955230.69,0,955230.69,1,973788.31,1,965327.25,0,955230.69,0,955230.69,5,1
0098024C,4755,60904,2,282763.09,Hispanic,Female,0,282768.56,0,282768.56,1,415970.56,0,282768.56,1,354481.84,1,292837.09,0,282768.56,1,326348.78,5,1
0101017C,1099,12897,3,162829.86,Black,Female,1,367018.88,0,162829.86,0,162829.86,0,162829.86,1,119930.03,1,182464.55,0,162829.86,1,162829.86,3,1
0101020C,8275,93889,3,355141.72,Black,Male,0,355141.75,0,355141.75,1,652135.31,0,364481.56,1,578849.06,1,401577.69,0,355141.75,1,378569.81,4,1
0101022C,4700,60341,1,536417.06,Hispanic,Female,0,536417.69,0,536417.69,0,536417.69,0,536417.69,1,728908.38,1,549680.06,0,536417.69,0,536417.69,5,1
0102006C,6872,83269,4,241689.94,Black,Male,0,241689.94,0,241689.94,0,241689.94,0,255225.02,1,567838.38,0,241689.94,0,241689.94,1,241689.94,4,1
0102008C,7030,84214,4,646174.94,Black,Male,0,646174.94,0,646174.94,0,646174.94,0,655353.63,1,1067975.4,1,658560.94,1,658014.06,0,646174.94,4,1
0102016C,8220,93529,3,207975.86,Black,Male,0,207975.91,0,207975.91,1,505242.94,0,217283.3,1,627498.31,0,207975.91,0,207975.91,1,238802.64,4,1
0103009C,3507,44654,2,354286.97,Black,Female,0,354286.97,0,354286.97,0,354286.97,0,354286.97,1,390861.31,1,389368.59,1,376382.72,1,358752.16,3,1
0103010C,5843,72089,3,294716.63,Black,Female,0,294716.69,0,294716.69,0,294716.69,0,294716.69,1,559475.25,1,308683.06,1,334379.28,1,304888.78,3,1
0103016C,7219,85567,2,210969.17,Black,Male,0,210969.23,0,210969.23,0,210969.23,1,264154.69,1,696103.88,1,225653.88,1,264315.84,1,225479.53,4,1
0103021C,4168,53215,1,439384.03,Black,Male,0,439384.06,0,439384.06,0,439384.06,0,448691.41,1,965359,1,451239.44,1,500418,1,460345.19,4,1
0105007C,7721,90072,2,424416.28,Black,Male,0,424416.34,0,424416.34,0,424416.34,0,433723.72,1,1369765.5,1,458903.19,0,424416.34,1,448600.13,4,1
0105014C,7829,90670,4,503942.31,Black,Female,0,503942.34,0,503942.34,0,503942.34,0,503942.34,1,380371.91,1,522615.94,1,532648.31,1,509895.91,3,1
0105015C,4199,53429,4,485827.94,White and Other,Male,0,485828.41,0,485828.41,0,485828.41,0,485828.41,1,485828.41,0,485828.41,1,561651.31,1,506037.28,2,1
0110019C,7278,86206,3,288538.09,Black,Male,0,288538.16,0,288538.16,0,288538.16,0,299142.56,1,760889.13,1,298678.78,0,288538.16,1,294227.19,4,1
0110022C,7954,91562,4,527109.44,Black,Female,0,527109.44,0,527109.44,0,527109.44,0,527109.44,1,447486.41,1,541738.63,0,527109.44,1,548703.69,3,1
0113019C,4146,53014,4,511894.88,Hispanic,Female,0,511897.81,0,511897.81,0,511897.81,0,511897.81,1,479336.06,1,522208.59,0,511897.81,0,511897.81,5,1
0114010C,7923,91353,1,323562.22,Hispanic,Female,0,323563.84,0,323563.84,0,323563.84,0,323563.84,1,371370.72,1,333969.63,1,371621,1,336347.44,5,1
0114010C,7923,91365,1,388488.38,Hispanic,Female,0,388490.56,0,388490.56,0,388490.56,0,388490.56,1,239882.97,1,398896.38,1,439543.16,1,406023.78,5,1
0114024C,3649,46223,2,921707.75,Black,Male,0,921707.69,0,921707.69,0,921707.69,0,1244664.8,1,1378275,1,1257688.4,0,921707.69,1,942405.88,4,1
0114024C,6143,75055,3,190052.53,Black,Male,0,190052.53,0,190052.53,0,190052.53,1,734465.25,1,485385.47,1,699846.13,1,239386.41,1,203471.34,4,1
0115007C,1928,23961,1,44971.742,Hispanic,Female,0,44971.965,0,44971.965,0,44971.965,0,44971.965,1,120372.98,1,52066.355,1,49996.105,1,45902.09,5,1
0115017C,14,172,3,339331.94,Hispanic,Male,0,339331.97,0,339331.97,0,339331.97,0,339331.97,1,578283.25,1,356757.97,0,339331.97,1,367442.16,6,1
0115017C,1625,19724,3,556523.88,Hispanic,Male,0,556524,0,556524,0,556524,0,556524,1,679989.19,1,554351.56,1,619407.25,1,573211.81,6,1
0117012C,6623,81015,3,716027.06,Hispanic,Male,0,716027.06,0,716027.06,0,716027.06,0,716027.06,1,687603.44,1,748753.88,1,803868.19,1,745582.44,6,1
0118008C,212,2494,3,727494.19,Hispanic,Male,0,727494.25,0,727494.25,0,727494.25,0,727494.25,1,1400842.9,1,744764.56,0,727494.25,1,767688.63,6,1
0124003C,8070,92196,1,330491.53,Black,Female,0,330491.53,0,330491.53,0,330491.53,0,330491.53,1,317805.44,1,331061.44,0,330491.53,1,330491.53,3,1
0125024C,3934,49890,4,266720.13,Hispanic,Female,0,266720.09,0,266720.09,0,266720.09,0,266720.09,1,204586.84,1,277789.5,0,266720.09,1,266720.09,5,1
0128015C,3833,48636,2,376657.13,White and Other,Female,0,376656.81,0,376656.81,0,376656.81,0,376656.81,1,376656.81,0,376656.81,1,429711.63,1,390759.25,1,1
0131004C,416,4998,2,2331076.8,White and Other,Female,0,2331076.3,0,2331076.3,0,2331076.3,0,2331076.3,1,2331076.3,0,2331076.3,0,2331076.3,0,2331076.3,1,1
0131012C,3377,42618,2,895324.56,White and Other,Female,0,895324.31,0,895324.31,0,895324.31,0,895324.31,1,895324.31,0,895324.31,1,960123.81,1,912808.94,1,1
0132013C,2478,31555,3,283581.75,White and Other,Female,0,283581.75,0,283581.75,0,283581.75,0,283581.75,1,283581.75,0,283581.75,0,283581.75,1,283581.75,1,1
0132017C,1642,20039,4,1596095.3,White and Other,Female,0,1596094.1,0,1596094.1,0,1596094.1,0,1596094.1,1,1596094.1,0,1596094.1,0,1596094.1,0,1596094.1,1,1
0134009C,4907,62505,3,568059.75,White and Other,Male,0,568060.25,0,568060.25,0,568060.25,0,568060.25,1,568060.25,0,568060.25,1,643697.88,0,568060.25,2,1
0134019C,2711,34036,3,3114682.3,White and Other,Male,0,3114686.5,0,3114686.5,0,3114686.5,0,3114686.5,1,3114686.5,0,3114686.5,0,3114686.5,0,3114686.5,2,1
0136010C,1106,12971,3,418348.94,White and Other,Male,1,1043082.1,0,418348.97,0,418348.97,0,418348.97,1,418348.97,1,1001838.3,0,418348.97,1,418348.97,2,1
0136015C,4534,57889,3,2709375,White and Other,Female,0,2709374.5,0,2709374.5,0,2709374.5,0,2709374.5,1,2709374.5,0,2709374.5,0,2709374.5,0,2709374.5,1,1
0143016C,7010,84083,1,561974.5,Hispanic,Female,0,561977.88,0,561977.88,0,561977.88,0,561977.88,1,601186.94,0,561977.88,0,561977.88,1,588953.75,5,1
0146020C,4678,60089,1,213261.73,Hispanic,Female,0,213261.75,0,213261.75,0,213261.75,0,213261.75,1,432370.38,1,222997.19,0,213261.75,1,213261.75,5,1
0147005C,4946,62813,1,369772.56,White and Other,Male,0,369772.88,0,369772.88,0,369772.88,0,369772.88,1,369772.88,1,437459.34,1,404350.31,1,377230.69,2,1
0147010C,2052,25650,2,666046.31,White and Other,Female,0,666046,0,666046,0,666046,0,666046,1,666046,0,666046,0,666046,0,666046,1,1
0149017C,1675,20438,4,455797.94,White and Other,Male,0,455797.94,0,455797.94,0,455797.94,0,455797.94,1,455797.94,0,455797.94,0,455797.94,1,455797.94,2,1
0150012C,7287,86250,1,204240.95,Black,Male,1,458146.5,0,204240.95,0,204240.95,0,217001.41,1,744043.31,0,204240.95,0,204240.95,1,204240.95,4,1
0154006C,541,6533,4,513249.97,Hispanic,Female,0,513252.38,0,513252.38,0,513252.38,0,513252.38,1,579933.81,0,513252.38,0,513252.38,1,537129.81,5,1
0154020C,3949,50231,2,418348.94,White and Other,Male,0,418348.97,0,418348.97,0,418348.97,0,418348.97,1,418348.97,0,418348.97,0,418348.97,1,418348.97,2,1
0161005C,6548,80355,3,1322220,White and Other,Female,0,1322219.3,0,1322219.3,0,1322219.3,0,1322219.3,1,1322219.3,0,1322219.3,0,1322219.3,0,1322219.3,1,1
0161008C,559,6845,3,624821.88,White and Other,Female,0,624821.88,0,624821.88,0,624821.88,0,624821.88,1,624821.88,0,624821.88,0,624821.88,1,624821.88,1,1
0162002C,2205,27912,3,1219517.9,White and Other,Male,0,1219518.4,0,1219518.4,0,1219518.4,0,1219518.4,1,1219518.4,0,1219518.4,0,1219518.4,0,1219518.4,2,1
0164005C,7557,88444,1,259595.97,Hispanic,Female,0,259595.97,0,259595.97,0,259595.97,0,259595.97,1,371011.16,1,271447.97,0,259595.97,1,259595.97,5,1
0164020C,1428,16915,2,162829.86,Black,Female,0,162829.86,0,162829.86,0,162829.86,0,162829.86,1,166221.84,1,183948.67,1,185126.03,1,168867.95,3,1
0167009C,1236,14330,1,765831.19,White and Other,Male,0,765832.38,0,765832.38,0,765832.38,0,765832.38,1,765832.38,0,765832.38,0,765832.38,1,820038.75,2,1
0167011C,5916,72886,2,434822.09,Black,Female,0,434822.13,0,434822.13,1,471905.47,0,434822.13,1,464654.81,0,434822.13,0,434822.13,1,461815.22,3,1
0167021C,5431,68123,4,202097.33,White and Other,Male,0,202097.86,0,202097.86,0,202097.86,0,202097.86,1,202097.86,0,202097.86,1,303930.06,1,229693.25,2,1
0168003C,395,4750,1,804847.81,White and Other,Male,0,804848.25,0,804848.25,0,804848.25,0,804848.25,1,804848.25,0,804848.25,1,880485.94,1,825007,2,1
0168007C,3943,50107,4,353083.09,White and Other,Female,0,353082.53,0,353082.53,0,353082.53,0,353082.53,1,353082.53,0,353082.53,0,353082.53,1,379352.75,1,1
0168019C,6542,80226,2,720239.63,White and Other,Female,0,720238.94,0,720238.94,0,720238.94,0,720238.94,1,720238.94,1,977146.44,0,720238.94,1,1007746.6,1,1
